Planet,MassEar,RadiusEar,SMAAU,DistancePC,SRadiusSun,Slogg,STK
GJ 1002 c, 1.36, 1.089910645123051, 0.0738, 4.84867, 0.14, 5.1, 3024.0 
GJ 1061 d, 1.64, 1.148566849890773, 0.054, 3.67278, 0.16, 5.16, 2953.0 
GJ 667 C c,3.8, 1.8197409713558403, 0.125, 7.24396, 0.33, 4.69, 3350.0 
GJ 682 b, 4.4, 1.9841492191550327, 0.08, 5.00671, 0.30, 4.93, 3028.0 
GJ 887 b, 4.2, 1.9304312201268201, 0.068, 3.29, 0.47, 4.78, 3688.0 
Proxima Cen b, 1.07, 1.0191250056782897, 0.04856, 1.30119, 0.14, 5.16, 2900.0 
Wolf 1061 c, 3.41, 1.7071132567354974, 0.089, 4.30592, 0.31, 4.90, 3342.0 
TRAPPIST-1 e, 0.692, 0.92, 0.02925, 12.1, 0.1192, 5.24, 2566.0 
TRAPPIST-1 h, 0.326, 0.755, 0.06189, 12.1, 0.1192, 5.24, 2566.0 
GJ 1002 b, 1.08, 1.0219463, 0.0457, 4.84867, 0.14, 5.1, 3024.0 
Wolf 1061 b, 1.91, 1.1986677, 0.0375, 4.30592, 0.31, 4.90, 3342.0 
GJ 1061 c, 1.74, 1.1674826, 0.035, 3.67278, 0.16, 5.16, 2953.0 
